,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_clf__gamma,param_clf__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
90,3.59640007,0.516599941,0.987933333,0.994133333,4,0.125,rbf,"{'clf__gamma': 0.125, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",12,0.983333333,0.99475,0.990333333,0.993916667,0.988666667,0.99425,0.987666667,0.994333333,0.989666667,0.993416667,0.080281085,0.010631977,0.002471167,0.00044597
91,3.726200056,0.544399929,0.9884,0.9973,4,0.25,rbf,"{'clf__gamma': 0.25, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",3,0.984666667,0.99725,0.991333333,0.997333333,0.988666667,0.997166667,0.987333333,0.9975,0.99,0.99725,0.05543426,0.019210445,0.002293953,0.000113039
92,4.682600069,0.708599997,0.988266667,0.999133333,4,0.5,rbf,"{'clf__gamma': 0.5, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",6,0.984666667,0.999166667,0.99,0.999,0.990333333,0.999083333,0.987,0.999166667,0.989333333,0.99925,0.080638898,0.019724154,0.002143725,8.50E-05
93,7.212799978,1.033799934,0.986666667,0.999516667,4,1,rbf,"{'clf__gamma': 1.0, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",23,0.982,0.9995,0.989666667,0.999416667,0.987,0.9995,0.986333333,0.999583333,0.988333333,0.999583333,0.150216417,0.028902581,0.002599145,6.24E-05
94,38.56880002,2.44279995,0.9762,0.999516667,4,2,rbf,"{'clf__gamma': 2.0, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",46,0.970666667,0.9995,0.979666667,0.999416667,0.977,0.9995,0.975666667,0.999583333,0.978,0.999583333,0.645092034,0.182674994,0.003059412,6.24E-05
95,102.9306,5.581600046,0.918066667,0.999516667,4,4,rbf,"{'clf__gamma': 4.0, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",75,0.918,0.9995,0.917666667,0.999416667,0.916666667,0.9995,0.919,0.999583333,0.919,0.999583333,0.552301994,0.171072558,0.000879394,6.24E-05
96,137.6358,5.518599987,0.904733333,0.999516667,4,8,rbf,"{'clf__gamma': 8.0, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",89,0.905333333,0.9995,0.905666667,0.999416667,0.904,0.9995,0.905333333,0.999583333,0.903333333,0.999583333,1.838569143,0.071684425,0.000904311,6.24E-05
97,148.7894,5.550199986,0.904266667,0.999516667,4,16,rbf,"{'clf__gamma': 16.0, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",94,0.904333333,0.9995,0.905333333,0.999416667,0.903666667,0.9995,0.904666667,0.999583333,0.903333333,0.999583333,3.741774085,0.052693042,0.000711805,6.24E-05
98,151.9658,5.476599932,0.904133333,0.999516667,4,32,rbf,"{'clf__gamma': 32.0, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",100,0.904333333,0.9995,0.905,0.999416667,0.903666667,0.9995,0.904333333,0.999583333,0.903333333,0.999583333,4.755290608,0.091700887,0.000581187,6.24E-05
99,3.796000052,0.547400045,0.986533333,0.99065,8,0.03125,rbf,"{'clf__gamma': 0.03125, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",28,0.980666667,0.99175,0.988666667,0.99025,0.987333333,0.990333333,0.987,0.990583333,0.989,0.990333333,0.038987117,0.009951919,0.003030218,0.000561249
100,3.489400005,0.493400002,0.988133333,0.9939,8,0.0625,rbf,"{'clf__gamma': 0.0625, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",9,0.983333333,0.994416667,0.990666667,0.993416667,0.989,0.994083333,0.988,0.994083333,0.989666667,0.9935,0.094922351,0.010556468,0.002552559,0.000381517
101,3.397399902,0.488999987,0.988333333,0.996783333,8,0.125,rbf,"{'clf__gamma': 0.125, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",4,0.984333333,0.996583333,0.991333333,0.996833333,0.989333333,0.9965,0.987,0.997166667,0.989666667,0.996833333,0.058969868,0.030172841,0.002431278,0.000233333
102,3.719199991,0.526000023,0.988466667,0.998883333,8,0.25,rbf,"{'clf__gamma': 0.25, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",1,0.985,0.998916667,0.990666667,0.99875,0.990666667,0.998916667,0.986666667,0.999083333,0.989333333,0.99875,0.048749921,0.020755773,0.002266667,0.000124722
103,4.771999979,0.677399969,0.988133333,0.999516667,8,0.5,rbf,"{'clf__gamma': 0.5, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",9,0.984666667,0.9995,0.99,0.999416667,0.989666667,0.9995,0.987,0.999583333,0.989333333,0.999583333,0.089292775,0.019231223,0.002028683,6.24E-05
104,7.136200047,1.069199991,0.986666667,0.999516667,8,1,rbf,"{'clf__gamma': 1.0, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",23,0.982,0.9995,0.989666667,0.999416667,0.987,0.9995,0.986333333,0.999583333,0.988333333,0.999583333,0.156279797,0.025902795,0.002599145,6.24E-05
105,37.85859995,2.442600012,0.9762,0.999516667,8,2,rbf,"{'clf__gamma': 2.0, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",46,0.970666667,0.9995,0.979666667,0.999416667,0.977,0.9995,0.975666667,0.999583333,0.978,0.999583333,0.640415138,0.165114024,0.003059412,6.24E-05
106,102.454,5.544000006,0.918066667,0.999516667,8,4,rbf,"{'clf__gamma': 4.0, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",75,0.918,0.9995,0.917666667,0.999416667,0.916666667,0.9995,0.919,0.999583333,0.919,0.999583333,1.149863827,0.14912142,0.000879394,6.24E-05
107,137.0443999,5.493599987,0.904733333,0.999516667,8,8,rbf,"{'clf__gamma': 8.0, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",89,0.905333333,0.9995,0.905666667,0.999416667,0.904,0.9995,0.905333333,0.999583333,0.903333333,0.999583333,1.235844155,0.101458523,0.000904311,6.24E-05
108,147.8644,5.45340004,0.904266667,0.999516667,8,16,rbf,"{'clf__gamma': 16.0, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",94,0.904333333,0.9995,0.905333333,0.999416667,0.903666667,0.9995,0.904666667,0.999583333,0.903333333,0.999583333,3.722697599,0.05637596,0.000711805,6.24E-05
109,149.3509999,5.447000074,0.904133333,0.999516667,8,32,rbf,"{'clf__gamma': 32.0, 'clf__C': 8.0, 'clf__kernel': 'rbf'}",100,0.904333333,0.9995,0.905,0.999416667,0.903666667,0.9995,0.904333333,0.999583333,0.903333333,0.999583333,4.169773794,0.037672285,0.000581187,6.24E-05
110,3.32239995,0.487800026,0.987933333,0.9938,16,0.03125,rbf,"{'clf__gamma': 0.03125, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",12,0.983,0.994333333,0.990666667,0.99325,0.989,0.993916667,0.987666667,0.994,0.989333333,0.9935,0.047288848,0.019630631,0.002644911,0.000382245
111,3.224200058,0.446799994,0.988266667,0.996366667,16,0.0625,rbf,"{'clf__gamma': 0.0625, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",6,0.984,0.996166667,0.991666667,0.996583333,0.989,0.996083333,0.986666667,0.996666667,0.99,0.996333333,0.069482136,0.008352267,0.002678308,0.000227303
112,3.286800098,0.446799946,0.9882,0.998683333,16,0.125,rbf,"{'clf__gamma': 0.125, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",8,0.985,0.99875,0.990666667,0.998583333,0.990666667,0.99875,0.986,0.998916667,0.988666667,0.998416667,0.044651517,0.008908492,0.002343786,0.000169967
113,3.709400034,0.529199934,0.987866667,0.99935,16,0.25,rbf,"{'clf__gamma': 0.25, 'clf__C': 16.0, 'clf__kernel': 'rbf'}",16,0.985,0.999416667,0.989666667,0.999166667,0.990333333,0.99925,0.985666667,0.9995,0.988666667,0.999416667,0.114069491,0.011702919,0.002145797,0.000122474
